// <skill_id>,<skill_name>
1,防御
2,铁壁
3,不动
4,汇合
5,回避
6,甲壳
11,探索
12,危险感知
13,飞行土流
14,飞行耐热
16,飞行
17,转移
18,飞行转移
19,飞行潜水
20,飞行耐电
21,土流
22,潜水
23,耐热
24,耐电
25,四属性耐性
26,薄冰
31,胜利者
32,神杰
33,王
34,誓约
40,无法前进
43,流沙阵
44,财宝守护者
45,飞行无双
46,锻梁师
47,操灵师
48,天缘神
49,猎人
50,努力家
51,挖掘
52,开锁
53,盗贼
54,魔术师
55,骑士
56,再行动
57,二回行动
58,双盾姫
59,征炎众
60,巫童
61,ＨＰ再生
62,ＳＰ再生
63,ＦＳ再生
64,超再生
65,结晶精灵
66,地之守护者
67,水之守护者
68,火之守护者
69,风之守护者
70,光之守护者
71,暗之守护者
72,魔神特性
73,结骑
74,实习女仆
75,魔伯爵
76,毒无效
77,迎击无效
78,間接无效
79,即死无效
80,吸收无效
81,魅惑无效
82,混乱无效
83,麻痺无效
84,强酸无效
85,恐怖无效
86,发动技能无效
87,司祭
89,精英
90,咏唱妨害
91,战斗指挥
92,封印
93,魅惑之神气
94,征炎
95,遗产
96,分裂
97,逃亡
98,归还
99,防御号令
101,人类特攻
102,魔物特攻
103,精灵特攻
104,天使特攻
105,恶魔特攻
106,幻兽特攻
107,创造破坏
108,领主特攻
109,死灵破坏
110,障壁摧毁
111,对空迎击
116,对潜迎击
117,对地袭击
118,气势
121,先发制人
126,看破
131,招架
136,反击
137,反击改
141,即死反击
146,决死
151,凶暴化
152,突贯
156,隐秘
161,反射
166,吸收
171,威圧
172,呐喊
176,贯通
181,连击
188,魔术结界
193,防护结界
198,灵魂结界
201,盾
206,大盾
211,冰盾
212,岩石皮肤
216,复活
221,精神统一
222,乱气流
223,凌波微步
226,心眼
231,料理
241,留手
242,间接轻减
243,幻魔障壁
246,援护攻击
251,援护防御
254,替身
261,替身不倒翁
266,封印反击的诅咒
267,物理无效
271,序列
272,风壁
273,主厨
274,干爹饭
275,教导之心
276,伊欧露的思绪
277,米凯优的思绪
278,感电
279,结界无效
280,重压空间
281,腐食域
282,魂解域
290,女神力
291,极限集中
292,家族爱
293,裸肌
294,睡眠充足
301,刃剑舞
302,刚刃剑舞
303,天破刃剑舞
304,斩骨术
305,乱斩拼杀
306,刚闪互流斩
307,连射
308,二重连射
309,三重连射
310,粉碎回转击
311,粉碎徹甲回转击
312,粉碎闪贯回转击
313,旋盾破
314,爆式旋盾破
315,精域聘之旋盾破
316,炎枪连击
317,炎枪贯通击
318,炎枪神天击
319,电磁円斩
320,电磁双円斩
321,电磁神龙斩
322,机轴击
323,机轴真击
324,机轴超击
325,冥拳击
326,冥拳真击
327,冥拳乱舞
328,森精弓亚罗
329,森精弓布罗
330,森精弓古罗
331,茄子拳
332,Ｇ茄子拳
333,Ｓ茄子拳
352,弱点射击
353,麻痺矢射击
354,镰刃
355,岩石坠
356,巨大岩石坠
357,炎石坠
358,冰块坠
359,雷石坠
360,碎尸万咬
361,腐食碎尸万咬
362,七连咬
363,突进
364,猛进
365,猫拳
366,猫拳·改
367,超·猫拳
368,二段攻击
369,三段攻击
370,贝尔泽斯莱格
371,角突
372,溶解液
373,缠绕
374,诱惑的缠绕
375,连续触手
376,臂刀
377,升龙拳
378,麻痺鳞粉
379,猛毒鳞粉
380,混乱鳞粉
381,波轮波
382,拉巴卜鲁
